Criteria,ASDC TES Subsetter,ASDC CALIPSO Subsetter,CERES Subset/Visualization Tool,ASDC MOPITT Subsetter,Daymet Single Pixel Extraction Tool (SPET),"Model-Derived Global Aerosol Climatology for MISR Analysis (""Clim-Likely"" Data Set)",MISR Browse Tool,Earthdata Access (508 Access tool),Terrestrial Ecology Subsetting & Visualization Services (TESViS) Global Tool,GLIMS Glacier Viewer,MISR Customization & Order Tool,ORNL DAAC Soil Moisture Visualizer (SMV),ORNL DAAC Spatial Data Access Tool (SDAT),GES DISC Data Recommender,Giovanni Mobile Application,GES DISC Subsetter,Giovanni GPT,GES DISC Publication Management System,GES DISC mEditor
"As a user, I can access additional information about a data set",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Number of DAACs/SIPS from which data is accessed?,5,10,10,5,5,0,5,25,15,5,5,15,5,25,5,5,5,5,5
Does the tool provide access to non-DAAC / External provider data?,0,0,25,0,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0
"As a user, I can search and access NASA EOSDIS's available data holdings",15,10,15,10,5,5,5,25,15,10,15,15,15,20,15,20,5,20,20
"As a user, I can search data based on Geospatial areas",15,15,15,15,5,0,10,5,15,5,15,5,0,0,15,15,5,0,0
"As a user, I can search for data based on Temporal bounds",5,5,15,5,5,0,5,5,5,0,15,0,0,0,15,5,5,0,0
Search data by product ID (short name),25,25,25,25,0,0,0,25,25,0,25,25,0,25,0,25,0,25,25
Search data by Campaign (e.g flight),0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0
Search data by Instrument,0,0,0,0,0,0,25,25,0,0,0,0,0,25,0,0,0,0,25
Search data by Mission,0,0,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25
Search by Principal Investigator (PI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
Search by criteria streamlined to use-based specific needs,0,0,25,0,0,0,25,0,25,25,25,0,0,0,25,0,0,25,0
"As a user, I can search for data based on keywords",0,0,0,0,0,0,0,25,25,0,0,0,25,25,25,0,25,25,25
"As a user, I can search for data variables based on keywords.",25,25,0,25,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25
"As a user, I can refine my search results based on multiple criteria",25,25,25,25,0,0,25,25,0,0,25,0,25,0,25,0,25,25,25
A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites,20,20,20,20,0,0,0,0,20,0,20,20,0,0,20,0,0,0,20
"As  a user, I can refine my search result based on the service/functionality selected",20,20,20,20,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0
"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections.",0,15,15,0,0,15,15,15,15,0,15,15,0,0,15,15,0,0,0
Dynamically show numbers of files and total size for filter and subset options.,12,12,12,12,0,0,12,20,0,12,12,12,12,0,0,20,0,0,0
"As a user, I can share my search with colleagues.",0,0,0,0,25,0,0,25,25,0,0,25,25,0,25,0,0,25,25
"As a user, i can view historical searches",0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0
"As a user, the tool provides dataset specific ""find similar data"" functionality.",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"As a user, I can use the tool to set up subscriptions to notify me when new data are available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"As a user, I can acquire data via direct download in the UI",25,25,25,25,25,0,0,25,25,25,25,25,25,0,25,25,0,0,0
"As a user, I can bulk download search data",15,15,15,15,15,0,0,0,25,25,15,15,15,0,0,15,0,0,0
"As a user, I can acquire data via S3 and/or https direct access in the Earthdata Cloud",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0
"As a user, I can acquire data via public API",5,5,5,5,5,5,0,5,5,0,5,0,5,5,5,5,0,0,0
"As a user, I can access public zarr stores for any operational data belonging to the tool.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidate alternative (or tool) allows access of output via standard API(s),0,0,20,0,0,0,0,0,0,0,20,0,20,20,0,0,0,0,20
"The tool allows exporting of search, download, and/or transformation references for use in programmatic access.",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"As a user, I can visualize search result footprints on  a map",0,25,25,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0
"As a user, I can visualize search result browse imagery on a map",0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,25,0,0
"As a user, I can visualize search result quicklook imagery on  a map",0,25,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0
