alternative,missing function
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
AppEEARS,"As  a user, I can refine my search result based on the service/functionality selected"
AppEEARS,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
AppEEARS,"As a user, I can visualize search result footprints on  a map"
AppEEARS,"As a user, I can visualize search result browse imagery on a map"
AppEEARS,"As a user, I can visualize search result quicklook imagery on  a map"
AppEEARS,Visualize environmental indicators on a map and browse imagery
AppEEARS,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
AppEEARS,"As a user, I can visualize data in a cross-sectional or vertical profile"
AppEEARS,"As a user, i can save my customizations so they persist between sessions"
AppEEARS,"As a user, I can share my visualization with colleagues."
AppEEARS,The UI allows for data spatial subsetting transformations via region
AppEEARS,"As a data provider, I can create discipline-specific portals"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
AppEEARS,The tool prevents users from applying incompatible combinations
AppEEARS,"As a user, I can deep-link to the app, maintaining the entire state"
Field_Campaign_Explorer_(FCX),Number of DAACs/SIPS from which data is accessed?
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search data by product ID (short name)
Field_Campaign_Explorer_(FCX),"As a user, I can search for data variables based on keywords."
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Field_Campaign_Explorer_(FCX),"As  a user, I can refine my search result based on the service/functionality selected"
Field_Campaign_Explorer_(FCX),"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Field_Campaign_Explorer_(FCX),Dynamically show numbers of files and total size for filter and subset options.
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Field_Campaign_Explorer_(FCX),"As a user, I can share my visualization with colleagues."
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations via region
Field_Campaign_Explorer_(FCX),The UI allows for data reprojection transformations
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
Field_Campaign_Explorer_(FCX),The UI allows for data concatenation/aggregation transformations.
Field_Campaign_Explorer_(FCX),"As a data provider, I can create discipline-specific portals"
Field_Campaign_Explorer_(FCX),"As a user, I can deep-link to the app, maintaining the entire state"
OpenAltimetry,Number of DAACs/SIPS from which data is accessed?
OpenAltimetry,"As a user, I can search for data variables based on keywords."
OpenAltimetry,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
OpenAltimetry,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
OpenAltimetry,Dynamically show numbers of files and total size for filter and subset options.
OpenAltimetry,"As a user, I can visualize search result browse imagery on a map"
OpenAltimetry,"As a user, I can visualize search result quicklook imagery on  a map"
OpenAltimetry,"As a user, I can customize an existing visualization"
OpenAltimetry,"As a user, i can save my customizations so they persist between sessions"
OpenAltimetry,The UI allows for data spatial subsetting transformations via region
OpenAltimetry,The UI allows for data reprojection transformations
OpenAltimetry,The UI allows for data concatenation/aggregation transformations.
OpenAltimetry,Ability to bulk download customized output files
OpenAltimetry,Ability to re-submit the exact same request
OpenAltimetry,"As a data provider, I can create discipline-specific portals"
Data_Access_Tool,Number of DAACs/SIPS from which data is accessed?
Data_Access_Tool,Search data by product ID (short name)
Data_Access_Tool,"As a user, I can search for data variables based on keywords."
Data_Access_Tool,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Data_Access_Tool,"As  a user, I can refine my search result based on the service/functionality selected"
Data_Access_Tool,"As a user, I can acquire data via public API"
Data_Access_Tool,"As a user, I can visualize search result footprints on  a map"
Data_Access_Tool,"As a user, I can visualize search result browse imagery on a map"
Data_Access_Tool,"As a user, I can visualize search result quicklook imagery on  a map"
Data_Access_Tool,Visualize environmental indicators on a map and browse imagery
Data_Access_Tool,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Data_Access_Tool,"As a user, I can visualize data in a cross-sectional or vertical profile"
Data_Access_Tool,"As a user, I can visualize multiple data variables at once."
Data_Access_Tool,"As a user, I can customize an existing visualization"
Data_Access_Tool,"As a user, i can save my customizations so they persist between sessions"
Data_Access_Tool,"As a user, I can share my visualization with colleagues."
Data_Access_Tool,The UI allows for data spatial subsetting transformations
Data_Access_Tool,The UI allows for data spatial subsetting transformations via region
