alternative,missing function
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
AppEEARS,"As  a user, I can refine my search result based on the service/functionality selected"
AppEEARS,The UI allows for data spatial subsetting transformations via region
AppEEARS,"As a data provider, I can create discipline-specific portals"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
AppEEARS,The tool prevents users from applying incompatible combinations
AppEEARS,"As a user, I can deep-link to the app, maintaining the entire state"
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search data by product ID (short name)
Field_Campaign_Explorer_(FCX),"As a user, I can search for data variables based on keywords."
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Field_Campaign_Explorer_(FCX),"As  a user, I can refine my search result based on the service/functionality selected"
Field_Campaign_Explorer_(FCX),Dynamically show numbers of files and total size for filter and subset options.
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations via region
Field_Campaign_Explorer_(FCX),The UI allows for data reprojection transformations
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
Field_Campaign_Explorer_(FCX),"As a data provider, I can create discipline-specific portals"
Field_Campaign_Explorer_(FCX),"As a user, I can deep-link to the app, maintaining the entire state"
OpenAltimetry,"As a user, I can search and access NASA EOSDIS's available data holdings"
OpenAltimetry,"As a user, I can search for data variables based on keywords."
OpenAltimetry,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
OpenAltimetry,Dynamically show numbers of files and total size for filter and subset options.
OpenAltimetry,The UI allows for data spatial subsetting transformations via region
OpenAltimetry,The UI allows for data reprojection transformations
OpenAltimetry,Ability to bulk download customized output files
OpenAltimetry,Ability to re-submit the exact same request
OpenAltimetry,"As a data provider, I can create discipline-specific portals"
Data_Access_Tool,Search data by product ID (short name)
Data_Access_Tool,"As a user, I can search for data variables based on keywords."
Data_Access_Tool,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Data_Access_Tool,"As  a user, I can refine my search result based on the service/functionality selected"
Data_Access_Tool,"As a user, I can acquire data via public API"
Data_Access_Tool,The UI allows for data spatial subsetting transformations
Data_Access_Tool,The UI allows for data spatial subsetting transformations via region
Data_Access_Tool,The UI allows for data  temporal subsetting transformations?
Data_Access_Tool,The UI allows for data  band/layer/variable subsetting transformations?
Data_Access_Tool,The UI allows for data reprojection transformations
Data_Access_Tool,The UI allows the reformatting of output files into other formats.
Data_Access_Tool,Ability to bulk download customized output files
Data_Access_Tool,Ability to re-submit the exact same request
Data_Access_Tool,Offer a formal citation for users to easily cite the tool in publications.
Data_Access_Tool,The tool prevents users from applying incompatible combinations
Operation_IceBridge_Portal,"As a user, I can search data based on Geospatial areas"
Operation_IceBridge_Portal,"As a user, I can search for data variables based on keywords."
Operation_IceBridge_Portal,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Operation_IceBridge_Portal,"As  a user, I can refine my search result based on the service/functionality selected"
Operation_IceBridge_Portal,"As a user, I can acquire data via public API"
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations via region
Operation_IceBridge_Portal,The UI allows for data  temporal subsetting transformations?
Operation_IceBridge_Portal,The UI allows for data  band/layer/variable subsetting transformations?
Operation_IceBridge_Portal,The UI allows for data reprojection transformations
Operation_IceBridge_Portal,The UI allows the reformatting of output files into other formats.
Operation_IceBridge_Portal,Ability to bulk download customized output files
Operation_IceBridge_Portal,Ability to re-submit the exact same request
Operation_IceBridge_Portal,"As a data provider, I can create discipline-specific portals"
Operation_IceBridge_Portal,Offer a formal citation for users to easily cite the tool in publications.
Operation_IceBridge_Portal,The tool prevents users from applying incompatible combinations
Operation_IceBridge_Portal,"As a user, I can deep-link to the app, maintaining the entire state"
Vertex,"As  a user, I can refine my search result based on the service/functionality selected"
Vertex,The UI allows for data spatial subsetting transformations via region
Vertex,The UI allows for data reprojection transformations
Vertex,The UI allows the reformatting of output files into other formats.
Vertex,"As a data provider, I can create discipline-specific portals"
Vertex,Offer a formal citation for users to easily cite the tool in publications.
Earthdata_Search,The UI allows for data spatial subsetting transformations via region
Earthdata_Search,Offer a formal citation for users to easily cite the tool in publications.
SOOT,"As a user, I can search data based on Geospatial areas"
SOOT,"As  a user, I can refine my search result based on the service/functionality selected"
