alternative,missing function
AppEEARS,Search by criteria streamlined to use-based specific needs
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
AppEEARS,"As  a user, I can refine my search result based on the service/functionality selected"
AppEEARS,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
AppEEARS,Candidate alternative (or tool) allows access of output via standard API(s)
AppEEARS,"As a user, I can visualize search result footprints on  a map"
AppEEARS,"As a user, I can visualize search result browse imagery on a map"
AppEEARS,"As a user, I can visualize search result quicklook imagery on  a map"
AppEEARS,Visualize environmental indicators on a map and browse imagery
AppEEARS,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
AppEEARS,"As a user, I can visualize data on an interactive map"
AppEEARS,"As a user, I can create time series animations of data visualizations"
AppEEARS,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
AppEEARS,"As a user, i can save my customizations so they persist between sessions"
AppEEARS,"As a user, I can share my visualization with colleagues."
AppEEARS,"As a user, I can generate a high resolution animation for presentations"
AppEEARS,"As a user, I can download and save visualizations from the tool"
AppEEARS,"As a user, I can visualize data at different scales from different sources in an interactive plot."
AppEEARS,The UI allows for data spatial subsetting transformations via region
AppEEARS,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
AppEEARS,"As a data provider, I can create discipline-specific portals"
AppEEARS,"As a user, I can customize my application experience"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
AppEEARS,The tool prevents users from applying incompatible combinations
AppEEARS,"As a user, I can deep-link to the app, maintaining the entire state"
Field_Campaign_Explorer_(FCX),Number of DAACs/SIPS from which data is accessed?
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search data by product ID (short name)
Field_Campaign_Explorer_(FCX),Search by criteria streamlined to use-based specific needs
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Field_Campaign_Explorer_(FCX),"As  a user, I can refine my search result based on the service/functionality selected"
Field_Campaign_Explorer_(FCX),"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Field_Campaign_Explorer_(FCX),Dynamically show numbers of files and total size for filter and subset options.
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Field_Campaign_Explorer_(FCX),"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Field_Campaign_Explorer_(FCX),"As a user, I can share my visualization with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, I can generate a high resolution animation for presentations"
Field_Campaign_Explorer_(FCX),"As a user, I can download and save visualizations from the tool"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations via region
Field_Campaign_Explorer_(FCX),The UI allows for data reprojection transformations
