alternative,missing function
AppEEARS,"The tool allows exporting of search, download, and/or transformation references for use in programmatic access."
AppEEARS,"As a user, I can share my visualization with colleagues."
AppEEARS,"As a user, I can download and save visualizations from the tool"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data variables based on keywords."
Field_Campaign_Explorer_(FCX),"As a user, I can share my search with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),"The tool allows exporting of search, download, and/or transformation references for use in programmatic access."
Field_Campaign_Explorer_(FCX),"As a user, I can share my visualization with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, I can download and save visualizations from the tool"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
OpenAltimetry,"As a user, I can search for data variables based on keywords."
OpenAltimetry,"The tool allows exporting of search, download, and/or transformation references for use in programmatic access."
OpenAltimetry,As a user I can visualize data statistics for a single pixel
OpenAltimetry,Ability to bulk download customized output files
OpenAltimetry,Ability to re-submit the exact same request
Data_Access_Tool,"As a user, I can search for data variables based on keywords."
Data_Access_Tool,"As a user, I can share my search with colleagues."
Data_Access_Tool,"As a user, I can acquire data via public API"
Data_Access_Tool,"As a user, I can visualize data as an interactive time series."
Data_Access_Tool,"As a user, I can visualize multiple data variables at once."
Data_Access_Tool,"As a user, I can share my visualization with colleagues."
Data_Access_Tool,"As a user, I can download and save visualizations from the tool"
Data_Access_Tool,As a user I can visualize data statistics for a single pixel
Data_Access_Tool,The UI allows for data spatial subsetting transformations
Data_Access_Tool,The UI allows for data  temporal subsetting transformations?
Data_Access_Tool,The UI allows for data  band/layer/variable subsetting transformations?
Data_Access_Tool,The UI allows the reformatting of output files into other formats.
Data_Access_Tool,Ability to bulk download customized output files
Data_Access_Tool,Ability to re-submit the exact same request
Data_Access_Tool,Offer a formal citation for users to easily cite the tool in publications.
Data_Access_Tool,"As a user, I can complete all tasks within the tool UX"
Operation_IceBridge_Portal,"As a user, I can search for data variables based on keywords."
Operation_IceBridge_Portal,"As a user, I can share my search with colleagues."
Operation_IceBridge_Portal,"As a user, I can acquire data via public API"
Operation_IceBridge_Portal,"The tool allows exporting of search, download, and/or transformation references for use in programmatic access."
Operation_IceBridge_Portal,"As a user, I can visualize data as an interactive time series."
Operation_IceBridge_Portal,"As a user, I can visualize multiple data variables at once."
Operation_IceBridge_Portal,"As a user, I can share my visualization with colleagues."
Operation_IceBridge_Portal,"As a user, I can download and save visualizations from the tool"
Operation_IceBridge_Portal,As a user I can visualize data statistics for a single pixel
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations
Operation_IceBridge_Portal,The UI allows for data  temporal subsetting transformations?
Operation_IceBridge_Portal,The UI allows for data  band/layer/variable subsetting transformations?
Operation_IceBridge_Portal,The UI allows the reformatting of output files into other formats.
Operation_IceBridge_Portal,Ability to bulk download customized output files
Operation_IceBridge_Portal,Ability to re-submit the exact same request
Operation_IceBridge_Portal,Offer a formal citation for users to easily cite the tool in publications.
