alternative,missing function
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,"As a user, I can visualize search result browse imagery on a map"
AppEEARS,"As a user, I can visualize data on an interactive map"
AppEEARS,"As a user, I can download and save visualizations from the tool"
AppEEARS,The UI allows for data spatial subsetting transformations via region
AppEEARS,Ability to broker transformation requests to conforming services providers
AppEEARS,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
AppEEARS,The tool is multilingual
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on keywords"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data variables based on keywords."
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),"As a user, I can download and save visualizations from the tool"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations via region
Field_Campaign_Explorer_(FCX),Ability to broker transformation requests to conforming services providers
Field_Campaign_Explorer_(FCX),The tool is multilingual
OpenAltimetry,"As a user, I can search for data based on keywords"
OpenAltimetry,"As a user, I can search for data variables based on keywords."
OpenAltimetry,"As a user, I can visualize search result browse imagery on a map"
OpenAltimetry,"As a user, I can customize an existing visualization"
OpenAltimetry,The UI allows for data spatial subsetting transformations via region
OpenAltimetry,Ability to re-submit the exact same request
OpenAltimetry,Ability to broker transformation requests to conforming services providers
OpenAltimetry,UI design is responsive (e.g. based on client type).
OpenAltimetry,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
OpenAltimetry,The tool is multilingual
Data_Access_Tool,"As a user, I can search for data based on keywords"
Data_Access_Tool,"As a user, I can search for data variables based on keywords."
Data_Access_Tool,"As a user, I can visualize search result browse imagery on a map"
Data_Access_Tool,"As a user, I can visualize data on an interactive map"
Data_Access_Tool,"As a user, I can visualize data as an interactive time series."
Data_Access_Tool,"As a user, I can customize an existing visualization"
Data_Access_Tool,"As a user, I can download and save visualizations from the tool"
Data_Access_Tool,The UI allows for data spatial subsetting transformations
Data_Access_Tool,The UI allows for data spatial subsetting transformations via region
Data_Access_Tool,The UI allows for data  temporal subsetting transformations?
Data_Access_Tool,The UI allows for data  band/layer/variable subsetting transformations?
Data_Access_Tool,Ability to re-submit the exact same request
Data_Access_Tool,Ability to broker transformation requests to conforming services providers
Data_Access_Tool,UI design is responsive (e.g. based on client type).
Data_Access_Tool,"As a user, I can complete all tasks within the tool UX"
Data_Access_Tool,The tool is multilingual
Operation_IceBridge_Portal,"As a user, I can search for data based on keywords"
Operation_IceBridge_Portal,"As a user, I can search for data variables based on keywords."
Operation_IceBridge_Portal,"As a user, I can visualize search result browse imagery on a map"
Operation_IceBridge_Portal,"As a user, I can visualize data as an interactive time series."
Operation_IceBridge_Portal,"As a user, I can customize an existing visualization"
Operation_IceBridge_Portal,"As a user, I can download and save visualizations from the tool"
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations via region
Operation_IceBridge_Portal,The UI allows for data  temporal subsetting transformations?
Operation_IceBridge_Portal,The UI allows for data  band/layer/variable subsetting transformations?
Operation_IceBridge_Portal,Ability to re-submit the exact same request
Operation_IceBridge_Portal,Ability to broker transformation requests to conforming services providers
Operation_IceBridge_Portal,UI design is responsive (e.g. based on client type).
Operation_IceBridge_Portal,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Operation_IceBridge_Portal,"As a user, I can complete all tasks within the tool UX"
Operation_IceBridge_Portal,The tool is multilingual
Vertex,"As a user, I can download and save visualizations from the tool"
Vertex,The UI allows for data spatial subsetting transformations via region
Vertex,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Earthdata_Search,"As a user, I can visualize data as an interactive time series."
Earthdata_Search,"As a user, I can customize an existing visualization"
Earthdata_Search,"As a user, I can download and save visualizations from the tool"
Earthdata_Search,The UI allows for data spatial subsetting transformations via region
Earthdata_Search,UI design is responsive (e.g. based on client type).
Earthdata_Search,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Earthdata_Search,The tool is multilingual
SOOT,"As a user, I can visualize search result browse imagery on a map"
SOOT,"As a user, I can visualize data on an interactive map"
SOOT,"As a user, I can visualize data as an interactive time series."
SOOT,"As a user, I can customize an existing visualization"
SOOT,"As a user, I can download and save visualizations from the tool"
SOOT,The UI allows for data spatial subsetting transformations
SOOT,The UI allows for data spatial subsetting transformations via region
SOOT,The UI allows for data  temporal subsetting transformations?
SOOT,Ability to broker transformation requests to conforming services providers
SOOT,UI design is responsive (e.g. based on client type).
SOOT,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
SOOT,The tool is multilingual
Airborne_Data_Visualizer,"As a user, I can search data based on Geospatial areas"
Airborne_Data_Visualizer,"As a user, I can search for data based on keywords"
Airborne_Data_Visualizer,"As a user, I can search for data variables based on keywords."
Airborne_Data_Visualizer,"As a user, I can refine my search results based on multiple criteria"
Airborne_Data_Visualizer,"As a user, I can customize an existing visualization"
Airborne_Data_Visualizer,"As a user, I can download and save visualizations from the tool"
Airborne_Data_Visualizer,The UI allows for data spatial subsetting transformations
Airborne_Data_Visualizer,The UI allows for data spatial subsetting transformations via region
Airborne_Data_Visualizer,The UI allows for data  temporal subsetting transformations?
Airborne_Data_Visualizer,The UI allows for data  band/layer/variable subsetting transformations?
Airborne_Data_Visualizer,Ability to re-submit the exact same request
Airborne_Data_Visualizer,Ability to broker transformation requests to conforming services providers
Airborne_Data_Visualizer,UI design is responsive (e.g. based on client type).
Airborne_Data_Visualizer,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Airborne_Data_Visualizer,The tool is multilingual
Giovanni,"As a user, I can search for data based on Temporal bounds"
Giovanni,"As a user, I can visualize search result browse imagery on a map"
Giovanni,The tool is multilingual
Worldview,"As a user, I can search for data based on Temporal bounds"
Worldview,The UI allows for data spatial subsetting transformations
Worldview,The UI allows for data spatial subsetting transformations via region
Worldview,The UI allows for data  temporal subsetting transformations?
Worldview,The UI allows for data  band/layer/variable subsetting transformations?
Worldview,Ability to re-submit the exact same request
Worldview,Ability to broker transformation requests to conforming services providers
Worldview,"As a user, I can complete all tasks within the tool UX"
Worldview,The tool is multilingual
