alternative,missing function
AppEEARS,Search by criteria streamlined to use-based specific needs
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
AppEEARS,"As  a user, I can refine my search result based on the service/functionality selected"
AppEEARS,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
AppEEARS,"As a user, I can visualize search result browse imagery on a map"
AppEEARS,Visualize environmental indicators on a map and browse imagery
AppEEARS,"As a user, I can visualize data availability on a timeline"
AppEEARS,"As a user, I can visualize data on an interactive map"
AppEEARS,"As a user, i can save my customizations so they persist between sessions"
AppEEARS,"As a user, I can share my visualization with colleagues."
AppEEARS,"As a user, I can download and save visualizations from the tool"
AppEEARS,The UI allows for data spatial subsetting transformations via region
AppEEARS,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
AppEEARS,Ability to broker transformation requests to conforming services providers
AppEEARS,"As a data provider, I can create discipline-specific portals"
AppEEARS,"As a user, I can customize my application experience"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
AppEEARS,The tool prevents users from applying incompatible combinations
AppEEARS,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
AppEEARS,"As a user, I can deep-link to the app, maintaining the entire state"
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search by criteria streamlined to use-based specific needs
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on keywords"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data variables based on keywords."
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Field_Campaign_Explorer_(FCX),"As  a user, I can refine my search result based on the service/functionality selected"
Field_Campaign_Explorer_(FCX),"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Field_Campaign_Explorer_(FCX),"As a user, I can share my search with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, i can view historical searches"
Field_Campaign_Explorer_(FCX),"As a user, I can share my visualization with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, I can download and save visualizations from the tool"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations via region
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
Field_Campaign_Explorer_(FCX),Ability to broker transformation requests to conforming services providers
Field_Campaign_Explorer_(FCX),"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
Field_Campaign_Explorer_(FCX),"As a data provider, I can create discipline-specific portals"
Field_Campaign_Explorer_(FCX),"As a user, I can deep-link to the app, maintaining the entire state"
OpenAltimetry,"As a user, I can search and access NASA EOSDIS's available data holdings"
OpenAltimetry,"As a user, I can search for data based on Temporal bounds"
OpenAltimetry,"As a user, I can search for data based on keywords"
OpenAltimetry,"As a user, I can search for data variables based on keywords."
