alternative,missing function
AppEEARS,Search data by Campaign (e.g flight)
AppEEARS,Search data by Instrument
AppEEARS,Search by criteria streamlined to use-based specific needs
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
AppEEARS,"As a user, I can visualize search result footprints on  a map"
AppEEARS,"As a user, I can visualize search result browse imagery on a map"
AppEEARS,"As a user, I can visualize search result quicklook imagery on  a map"
AppEEARS,Visualize environmental indicators on a map and browse imagery
AppEEARS,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
AppEEARS,"As a user, I can visualize data availability on a timeline"
AppEEARS,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
AppEEARS,The tool prevents users from applying incompatible combinations
AppEEARS,"As a user, I can make area measurements on the map interface"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search data by Campaign (e.g flight)
Field_Campaign_Explorer_(FCX),Search data by Instrument
Field_Campaign_Explorer_(FCX),Search data by Mission
Field_Campaign_Explorer_(FCX),Search by criteria streamlined to use-based specific needs
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Field_Campaign_Explorer_(FCX),Dynamically show numbers of files and total size for filter and subset options.
Field_Campaign_Explorer_(FCX),"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Field_Campaign_Explorer_(FCX),"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Field_Campaign_Explorer_(FCX),"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
OpenAltimetry,Search data by Campaign (e.g flight)
OpenAltimetry,Search data by Instrument
OpenAltimetry,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
OpenAltimetry,Dynamically show numbers of files and total size for filter and subset options.
OpenAltimetry,"As a user, I can visualize search result browse imagery on a map"
OpenAltimetry,"As a user, I can visualize search result quicklook imagery on  a map"
OpenAltimetry,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
OpenAltimetry,Ability to re-submit the exact same request
OpenAltimetry,UI design is responsive (e.g. based on client type).
OpenAltimetry,"As a user, I can make area measurements on the map interface"
Data_Access_Tool,Search data by Campaign (e.g flight)
Data_Access_Tool,Search data by Instrument
Data_Access_Tool,Search data by Mission
Data_Access_Tool,Search by criteria streamlined to use-based specific needs
Data_Access_Tool,"As a user, I can visualize search result footprints on  a map"
Data_Access_Tool,"As a user, I can visualize search result browse imagery on a map"
Data_Access_Tool,"As a user, I can visualize search result quicklook imagery on  a map"
Data_Access_Tool,Visualize environmental indicators on a map and browse imagery
Data_Access_Tool,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Data_Access_Tool,"As a user, I can visualize data availability on a timeline"
Data_Access_Tool,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Data_Access_Tool,Ability to re-submit the exact same request
Data_Access_Tool,"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
Data_Access_Tool,The tool prevents users from applying incompatible combinations
Data_Access_Tool,UI design is responsive (e.g. based on client type).
Data_Access_Tool,"As a user, I can make area measurements on the map interface"
Data_Access_Tool,"As a user, I can complete all tasks within the tool UX"
Operation_IceBridge_Portal,"As a user, I can search data based on Geospatial areas"
Operation_IceBridge_Portal,Search data by Campaign (e.g flight)
Operation_IceBridge_Portal,Search data by Instrument
Operation_IceBridge_Portal,Search data by Mission
Operation_IceBridge_Portal,Search by criteria streamlined to use-based specific needs
Operation_IceBridge_Portal,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Operation_IceBridge_Portal,"As a user, I can visualize search result browse imagery on a map"
Operation_IceBridge_Portal,"As a user, I can visualize data availability on a timeline"
Operation_IceBridge_Portal,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Operation_IceBridge_Portal,Ability to re-submit the exact same request
Operation_IceBridge_Portal,"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
Operation_IceBridge_Portal,The tool prevents users from applying incompatible combinations
Operation_IceBridge_Portal,UI design is responsive (e.g. based on client type).
Operation_IceBridge_Portal,"As a user, I can make area measurements on the map interface"
Operation_IceBridge_Portal,"As a user, I can complete all tasks within the tool UX"
Vertex,"As a user, I can make area measurements on the map interface"
