alternative,missing function
AppEEARS,Search by criteria streamlined to use-based specific needs
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
AppEEARS,"As  a user, I can refine my search result based on the service/functionality selected"
AppEEARS,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
AppEEARS,Candidate alternative (or tool) allows access of output via standard API(s)
AppEEARS,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
AppEEARS,"As a user, i can save my customizations so they persist between sessions"
AppEEARS,The tool prevents users from applying incompatible combinations
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search data by product ID (short name)
Field_Campaign_Explorer_(FCX),Search by criteria streamlined to use-based specific needs
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Field_Campaign_Explorer_(FCX),"As  a user, I can refine my search result based on the service/functionality selected"
Field_Campaign_Explorer_(FCX),"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Field_Campaign_Explorer_(FCX),Dynamically show numbers of files and total size for filter and subset options.
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data reprojection transformations
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
OpenAltimetry,"As a user, I can search and access NASA EOSDIS's available data holdings"
OpenAltimetry,"As a user, I can search for data based on Temporal bounds"
OpenAltimetry,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
OpenAltimetry,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
OpenAltimetry,Dynamically show numbers of files and total size for filter and subset options.
OpenAltimetry,Candidate alternative (or tool) allows access of output via standard API(s)
OpenAltimetry,"As a user, i can save my customizations so they persist between sessions"
OpenAltimetry,The UI allows for data reprojection transformations
OpenAltimetry,Ability to bulk download customized output files
OpenAltimetry,UI design is responsive (e.g. based on client type).
Data_Access_Tool,"As a user, I can search for data based on Temporal bounds"
Data_Access_Tool,Search data by product ID (short name)
Data_Access_Tool,Search by criteria streamlined to use-based specific needs
Data_Access_Tool,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Data_Access_Tool,"As  a user, I can refine my search result based on the service/functionality selected"
Data_Access_Tool,"As a user, I can acquire data via public API"
Data_Access_Tool,Candidate alternative (or tool) allows access of output via standard API(s)
Data_Access_Tool,"As a user, I can view granule spatial bounds, quicklook, and browse imagery on a polar projection"
Data_Access_Tool,"As a user, i can save my customizations so they persist between sessions"
Data_Access_Tool,The UI allows for data spatial subsetting transformations
Data_Access_Tool,The UI allows for data  temporal subsetting transformations?
Data_Access_Tool,The UI allows for data  band/layer/variable subsetting transformations?
Data_Access_Tool,The UI allows for data reprojection transformations
