alternative,missing function
AppEEARS,"As a user, I can refine my search results based on multiple criteria"
AppEEARS,Candidate alternative (or tool) allows access of output via standard API(s)
AppEEARS,"As a user, I can visualize data availability on a timeline"
AppEEARS,"As a user, I can visualize data on an interactive map"
AppEEARS,"As a user, I can share my visualization with colleagues."
AppEEARS,"As a user, I can download and save visualizations from the tool"
AppEEARS,The UI allows for data regridding (resampling) transformations
AppEEARS,"As a data provider, I can create discipline-specific portals"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
AppEEARS,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
AppEEARS,"As a user, I can deep-link to the app, maintaining the entire state"
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),Search data by Mission
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on keywords"
Field_Campaign_Explorer_(FCX),"As a user, I can refine my search results based on multiple criteria"
Field_Campaign_Explorer_(FCX),Dynamically show numbers of files and total size for filter and subset options.
Field_Campaign_Explorer_(FCX),"As a user, I can share my search with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),"As a user, I can share my visualization with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, I can download and save visualizations from the tool"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data reprojection transformations
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
Field_Campaign_Explorer_(FCX),The UI allows for data regridding (resampling) transformations
Field_Campaign_Explorer_(FCX),"As a data provider, I can create discipline-specific portals"
Field_Campaign_Explorer_(FCX),"As a user, I can deep-link to the app, maintaining the entire state"
OpenAltimetry,"As a user, I can search and access NASA EOSDIS's available data holdings"
OpenAltimetry,"As a user, I can search for data based on keywords"
OpenAltimetry,Dynamically show numbers of files and total size for filter and subset options.
OpenAltimetry,Candidate alternative (or tool) allows access of output via standard API(s)
OpenAltimetry,"As a user, I can customize an existing visualization"
OpenAltimetry,The UI allows for data reprojection transformations
OpenAltimetry,The UI allows the reformatting of output files into other formats.
OpenAltimetry,The UI allows for data regridding (resampling) transformations
OpenAltimetry,Ability to bulk download customized output files
OpenAltimetry,Ability to re-submit the exact same request
OpenAltimetry,"As a data provider, I can create discipline-specific portals"
OpenAltimetry,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Data_Access_Tool,Search data by Mission
Data_Access_Tool,"As a user, I can search for data based on keywords"
Data_Access_Tool,"As a user, I can share my search with colleagues."
Data_Access_Tool,"As a user, I can acquire data via public API"
