alternative,missing function
AppEEARS,Search by criteria streamlined to use-based specific needs
AppEEARS,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
AppEEARS,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
AppEEARS,Visualize environmental indicators on a map and browse imagery
AppEEARS,"As a user, I can visualize data availability on a timeline"
AppEEARS,"As a user, I can visualize data on an interactive map"
AppEEARS,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
AppEEARS,"As a user, I can share my visualization with colleagues."
AppEEARS,"As a user, I can generate a high resolution animation for presentations"
AppEEARS,"As a user, I can download and save visualizations from the tool"
AppEEARS,The UI allows for data spatial subsetting transformations via region
AppEEARS,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
AppEEARS,Offer a formal citation for users to easily cite the tool in publications.
AppEEARS,The tool prevents users from applying incompatible combinations
Field_Campaign_Explorer_(FCX),Number of DAACs/SIPS from which data is accessed?
Field_Campaign_Explorer_(FCX),"As a user, I can search and access NASA EOSDIS's available data holdings"
Field_Campaign_Explorer_(FCX),"As a user, I can search data based on Geospatial areas"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on Temporal bounds"
Field_Campaign_Explorer_(FCX),Search data by product ID (short name)
Field_Campaign_Explorer_(FCX),Search by criteria streamlined to use-based specific needs
Field_Campaign_Explorer_(FCX),"As a user, I can search for data based on keywords"
Field_Campaign_Explorer_(FCX),"As a user, I can search for data variables based on keywords."
Field_Campaign_Explorer_(FCX),A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Field_Campaign_Explorer_(FCX),"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Field_Campaign_Explorer_(FCX),"As a user, I can share my search with colleagues."
Field_Campaign_Explorer_(FCX),"As a user, i can view historical searches"
Field_Campaign_Explorer_(FCX),"As a user, I can bulk download search data"
Field_Campaign_Explorer_(FCX),"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Field_Campaign_Explorer_(FCX),"As a user, I can share my visualization with colleagues."
Field_Campaign_Explorer_(FCX),"As a (logged in) user, I can view my visualization history."
Field_Campaign_Explorer_(FCX),"As a user, I can generate a high resolution animation for presentations"
Field_Campaign_Explorer_(FCX),"As a user, I can download and save visualizations from the tool"
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations
Field_Campaign_Explorer_(FCX),The UI allows for data spatial subsetting transformations via region
Field_Campaign_Explorer_(FCX),The UI allows for data reprojection transformations
Field_Campaign_Explorer_(FCX),The UI allows the reformatting of output files into other formats.
Field_Campaign_Explorer_(FCX),The UI allows for requesting coincident data transformations
Field_Campaign_Explorer_(FCX),"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
OpenAltimetry,Number of DAACs/SIPS from which data is accessed?
OpenAltimetry,"As a user, I can search and access NASA EOSDIS's available data holdings"
OpenAltimetry,"As a user, I can search for data based on keywords"
OpenAltimetry,"As a user, I can search for data variables based on keywords."
OpenAltimetry,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
OpenAltimetry,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
OpenAltimetry,"As a user, i can view historical searches"
OpenAltimetry,"As a user, I can compare measurements within the tool Original: Interactively view and compare time series of in situ measurements in a plot Also: As a user, I can visually and mathematically compare two separate variables."
OpenAltimetry,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
OpenAltimetry,"As a (logged in) user, I can view my visualization history."
OpenAltimetry,"As a user, I can view the manner in which the visualization was created"
OpenAltimetry,"As a user, I can generate a high resolution animation for presentations"
OpenAltimetry,"As a user, I can view and download Summary Statistics for selected data"
OpenAltimetry,As a user I can visualize data statistics
OpenAltimetry,The UI allows for data spatial subsetting transformations via region
OpenAltimetry,The UI allows for data reprojection transformations
OpenAltimetry,Ability to bulk download customized output files
OpenAltimetry,The UI allows for requesting coincident data transformations
OpenAltimetry,"As a user, I can view my transformation history"
OpenAltimetry,"As a user, I can view my transformation status and progress"
OpenAltimetry,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
OpenAltimetry,Ability to re-submit the exact same request
OpenAltimetry,UI design is responsive (e.g. based on client type).
Data_Access_Tool,Number of DAACs/SIPS from which data is accessed?
Data_Access_Tool,Search data by product ID (short name)
Data_Access_Tool,Search by criteria streamlined to use-based specific needs
Data_Access_Tool,"As a user, I can search for data based on keywords"
Data_Access_Tool,"As a user, I can search for data variables based on keywords."
Data_Access_Tool,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Data_Access_Tool,"As a user, I can share my search with colleagues."
Data_Access_Tool,"As a user, i can view historical searches"
Data_Access_Tool,"As a user, I can bulk download search data"
Data_Access_Tool,"As a user, I can acquire data via public API"
Data_Access_Tool,Visualize environmental indicators on a map and browse imagery
Data_Access_Tool,"As a user, I can visualize data availability on a timeline"
Data_Access_Tool,"As a user, I can visualize data on an interactive map"
Data_Access_Tool,"As a user, I can visualize data as an interactive time series."
Data_Access_Tool,"As a user, I can visualize multiple data variables at once."
Data_Access_Tool,"As a user, I can visualize quality information for my desired data within the UI"
Data_Access_Tool,"As a user, I can compare measurements within the tool Original: Interactively view and compare time series of in situ measurements in a plot Also: As a user, I can visually and mathematically compare two separate variables."
Data_Access_Tool,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Data_Access_Tool,"As a user, I can share my visualization with colleagues."
Data_Access_Tool,"As a (logged in) user, I can view my visualization history."
Data_Access_Tool,"As a user, I can view the manner in which the visualization was created"
Data_Access_Tool,"As a user, I can generate a high resolution animation for presentations"
Data_Access_Tool,"As a user, I can download and save visualizations from the tool"
Data_Access_Tool,"As a user, I can view and download Summary Statistics for selected data"
Data_Access_Tool,As a user I can visualize data statistics
Data_Access_Tool,The UI allows for data spatial subsetting transformations
Data_Access_Tool,The UI allows for data spatial subsetting transformations via region
Data_Access_Tool,The UI allows for data  temporal subsetting transformations?
Data_Access_Tool,The UI allows for data  band/layer/variable subsetting transformations?
Data_Access_Tool,The UI allows for data reprojection transformations
Data_Access_Tool,The UI allows the reformatting of output files into other formats.
Data_Access_Tool,Ability to bulk download customized output files
Data_Access_Tool,The UI allows for requesting coincident data transformations
Data_Access_Tool,"As a user, I can view my transformation history"
Data_Access_Tool,"As a user, I can view my transformation status and progress"
Data_Access_Tool,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
Data_Access_Tool,Ability to re-submit the exact same request
Data_Access_Tool,"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
Data_Access_Tool,Offer a formal citation for users to easily cite the tool in publications.
Data_Access_Tool,The tool prevents users from applying incompatible combinations
Data_Access_Tool,UI design is responsive (e.g. based on client type).
Data_Access_Tool,"As a user, I can complete all tasks within the tool UX"
Operation_IceBridge_Portal,Number of DAACs/SIPS from which data is accessed?
Operation_IceBridge_Portal,"As a user, I can search data based on Geospatial areas"
Operation_IceBridge_Portal,Search by criteria streamlined to use-based specific needs
Operation_IceBridge_Portal,"As a user, I can search for data based on keywords"
Operation_IceBridge_Portal,"As a user, I can search for data variables based on keywords."
Operation_IceBridge_Portal,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Operation_IceBridge_Portal,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Operation_IceBridge_Portal,"As a user, I can share my search with colleagues."
Operation_IceBridge_Portal,"As a user, i can view historical searches"
Operation_IceBridge_Portal,"As a user, I can bulk download search data"
Operation_IceBridge_Portal,"As a user, I can acquire data via public API"
Operation_IceBridge_Portal,"As a user, I can visualize data availability on a timeline"
Operation_IceBridge_Portal,"As a user, I can visualize data as an interactive time series."
Operation_IceBridge_Portal,"As a user, I can visualize multiple data variables at once."
Operation_IceBridge_Portal,"As a user, I can visualize quality information for my desired data within the UI"
Operation_IceBridge_Portal,"As a user, I can compare measurements within the tool Original: Interactively view and compare time series of in situ measurements in a plot Also: As a user, I can visually and mathematically compare two separate variables."
Operation_IceBridge_Portal,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Operation_IceBridge_Portal,"As a user, I can share my visualization with colleagues."
Operation_IceBridge_Portal,"As a (logged in) user, I can view my visualization history."
Operation_IceBridge_Portal,"As a user, I can view the manner in which the visualization was created"
Operation_IceBridge_Portal,"As a user, I can generate a high resolution animation for presentations"
